"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36015.070459561","","","","","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","895.599148808249","945.686929858971","940.476298982224","1039.40824176659","1095.65562841162","1245.05922295101","1283.04098567395","1525.51705383899","1629.16729020532","1712.58871978343","1934.28563418865","1941.898322683","1939.95412493159","1934.19363432869","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3106.55462518039","3076.25600839735","2836.12924364788","2115.39510053533","2165.01507004445","2366.28405550494","2603.07434321484","2778.74354273977","2918.45140585592","2972.32193814358","3036.55972773012","3131.99585802776","2858.89706878855","2961.96457179672","3256.65375398279","3838.26457174936","4614.59080935648","5613.23219621736","6298.01243978425","6284.27490492998","6360.84898012934","6524.48118084089","6758.27804986574","7097.84013792599","7317.83407326534","7371.02765624466","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2748.62272751626","2011.84171500052","1921.16341971823","2168.88623142028","2413.66320372055","2809.01490804727","3140.03698603976","2865.50751012233","3177.4907858974","3684.94515299614","4045.75206860807","4508.632005921","4785.88098074273","5182.4903673827","5652.60267276765","6199.91272686064","7066.72564450283","7658.40857808806","8769.0943361725","9342.0812456971","9303.93247566951","9640.14459267576","10361.433216136","10412.4417209438","11167.0225730627","11305.4174218566","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6503.32255780613","6391.04686833178","6755.68122056563","6997.30500120777","7185.09689400583","7316.23695551746","7638.63292535058","7972.13005920276","8345.37120466215","8590.18266245115","9022.789764816","9248.46557682245","9324.91998288205","9624.9996978582","10601.288182628","11342.572580005","12213.2317751583","12925.952488242","13680.1999928453","13722.9170810262","14203.7732324898","14577.2951777768","15473.4570029986","15841.5722381136","16092.8252462819","16415.6272592836","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74017.3006503727","73036.9966064691","73154.2777414922","71959.8778674344","74683.8885943879","77467.2448447408","79480.4674789064","83165.2631465984","80040.2167031434","79262.3864517508","84974.8940914508","83533.5552161428","82369.6850171255","85563.6364172279","87843.7081074576","84338.3594071577","82754.2819759593","75426.793513296","69124.39621148","59100.3805379711","56245.4781588414","57594.1266833257","61172.9947875255","64229.4649857771","67921.3994644049","70237.9477494003","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7002.05059981198","8037.789232041","9076.54904263894","9709.91154496385","10359.485931443","10146.436214821","10771.884627609","11707.9711929146","12152.4677236507","11788.510195469","11829.4840471031","11437.8308818918","10234.0568615494","11235.9923548507","12451.1310990134","13845.2247850478","15271.3549720702","16915.4352355326","17770.1775228821","16656.5194492696","18414.0863704533","19742.396097348","19686.6091339069","20254.9921806629","19854.8061210977","20323.0030471059","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2414.40492609072","2223.44426285485","1347.49100775001","1287.95510749683","1419.99274213654","1581.73378977636","1731.80741579865","1840.69600801802","2012.33889409475","2123.61324020965","2313.33194570309","2605.77161787354","3007.21939324672","3510.31680808151","3998.14313650458","4716.24327265172","5526.09280578227","6483.50464926084","7097.91217336266","6158.30145236576","6376.2682174205","6803.48299708481","7401.85639769464","7734.78016679973","8099.20832577929","8393.51178580683","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
